kiscourseid,title,degree_type,a_level,a_level_subjects,gcse,ib,ib_subjects,url,foundation,sandwich,yearabroad,lower_quartile_salary,median_salary,upper_quartile_salary,university,offer_rate_clean,disciplines
UBACZEAEES18,Czech (with Slovak) and East European Studies,BA,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-slovak-and-east-european-studies-ba,No,No,Yes,25500,28500,35000,University College London,63,Czech
UBADANADUT18,Danish and Dutch,BA,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-dutch-ba,No,No,Yes,25500,28500,35000,University College London,60,Danish
UBADANAFIN18,Danish and Finnish,BA,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-finnish-ba,No,No,Yes,25500,28500,35000,University College London,Data Not Available,Danish
UBADANAFRE18,Danish and French,BA,ABB,French required at grade A.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects to include French grade 6, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-french-ba,No,No,Yes,25500,28500,35000,University College London,63,Danish
UBADANAGER18,Danish and German,BA,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5, to include a foreign language.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-german-ba,No,No,Yes,25500,28500,35000,University College London,63,Danish
UBADANAHEB18,Danish and Hebrew,BA,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5, to include Danish or Hebrew.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-hebrew-ba,No,No,Yes,25500,28500,35000,University College London,Data Not Available,Danish
UBADANAHUN18,Danish and Hungarian,BA,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-hungarian-ba,No,No,Yes,25500,28500,35000,University College London,Data Not Available,Danish
UBADANAITA18,Danish and Italian,BA,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5, to include a foreign language.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-italian-ba,No,No,Yes,25500,28500,35000,University College London,Data Not Available,Danish
UBADANAPOL18,Danish and Polish,BA,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-polish-ba,No,No,Yes,25500,28500,35000,University College London,63,Danish
UBADANAPOR18,Danish and Portuguese,BA,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-portuguese-ba,No,No,Yes,25500,28500,35000,University College London,63,Danish
UBADANAROM18,Danish and Romanian,BA,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-romanian-ba,No,No,Yes,25500,28500,35000,University College London,Data Not Available,Danish
UBADANARUS18,Danish and Russian,BA,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-russian-ba,No,No,No,25500,28500,35000,University College London,Data Not Available,Danish
UBADANASRB18,Danish and Serbian/Croatian,BA,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-serbian-croatian-ba,No,No,Yes,25500,28500,35000,University College London,Data Not Available,Danish
UBADANASPA18,Danish and Spanish,BA,ABB,Spanish required at grade A.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects including Spanish at grade 6, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-spanish-ba,No,No,Yes,25500,28500,35000,University College London,63,Danish
UBADANAUKR18,Danish and Ukrainian,BA,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-ukrainian-ba,No,No,Yes,25500,28500,35000,University College London,Data Not Available,Danish
UBADANAYID18,Danish and Yiddish,BA,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5, to include Danish or Yiddish",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/danish-and-yiddish-ba,No,No,Yes,25500,28500,35000,University College London,Data Not Available,Danish
UBSDATSING18,Data Science,BSc,A*AA,"A* in Mathematics required. Further Mathematics preferred. If you are studying both then the A* can be in either subject. Other preferred subjects include Chemistry, Economics, Physics and Statistics.",English Language and Mathematics at grade C or 4.,39,"A total of 19 points in three higher level subjects including grade 7 in Mathematics, with no higher level score below 5. The programme will accept either 'Mathematics: Analysis and Approaches' or 'Mathematics: Applications and Interpretation' at higher level. Further Mathematics, Chemistry, Economics, Physics and Statistics preferred.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/data-science-bsc,No,No,No,30000,35000,46000,University College London,12,Data Science|Statistics
UBADUTAENG18,Dutch and English,BA,AAA,"English Literature/English Language and Literature grade A required, foreign language preferred.",English Language at grade B or 6 and Mathematics at grade C or 4.,38,"A total of 18 points in three higher level subjects, with no higher level score below 5, to include English/English Literature required at grade 6.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-english-ba,No,No,Yes,23000,25500,30000,University College London,60,Dutch
UBADUTAFIN18,Dutch and Finnish,BA,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-finnish-ba,No,No,Yes,25500,28500,35000,University College London,Data Not Available,Dutch
UBADUTAFRE18,Dutch and French,BA,ABB,French required at grade A.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects to include French grade 6, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-french-ba,No,No,Yes,25500,28500,35000,University College London,63,Dutch
UBADUTAGER18,Dutch and German,BA,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5, to include a foreign language.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-german-ba,No,No,Yes,25500,28500,35000,University College London,63,Dutch
UBADUTAHEB18,Dutch and Hebrew,BA,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5, to include Dutch or Hebrew.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-hebrew-ba,No,No,Yes,25500,28500,35000,University College London,Data Not Available,Dutch
UBADUTAHAR18,Dutch and History of Art,BA,ABB,Modern foreign language preferred.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5, Modern Foreign Language preferred.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-history-art-ba,No,No,Yes,25500,28500,35000,University College London,63,Dutch
UBADUTAHUN18,Dutch and Hungarian,BA,AAB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects to include a foreign language, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-hungarian-ba,No,No,Yes,25500,28500,35000,University College London,Data Not Available,Dutch
UBADUTAITA18,Dutch and Italian,BA,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-italian-ba,No,No,Yes,25500,28500,35000,University College London,Data Not Available,Dutch
UBADUTALAT18,Dutch and Latin,BA,ABB,"Latin grade A required, modern foreign language preferred.",English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects to include Latin grade 6, with no higher level score below 5. Modern Foreign Language preferred.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-latin-ba,No,No,Yes,25500,28500,35000,University College London,Data Not Available,Dutch
UBADUTAMAN18,Dutch and Management Studies,BA,AAB,Modern foreign language preferred.,English Language at grade B or 6 and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects, with no higher level score below 5, Modern Foreign Language preferred.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-management-studies-ba,No,No,Yes,30000,34000,47500,University College London,57,Dutch
UBADUTANOR18,Dutch and Norwegian,BA,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-norwegian-ba,No,No,Yes,25500,28500,35000,University College London,Data Not Available,Dutch
UBADUTAPHI18,Dutch and Philosophy,BA,AAB,Modern foreign language preferred.,English Language at grade B or 6 and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects, with no higher level score below 5, Modern Foreign Language preferred.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-philosophy-ba,No,No,Yes,25500,28500,35000,University College London,63,Dutch
UBADUTAPOL18,Dutch and Polish,BA,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-polish-ba,No,No,Yes,25500,28500,35000,University College London,63,Dutch
UBADUTAPOR18,Dutch and Portuguese,BA,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-portuguese-ba,No,No,Yes,25500,28500,35000,University College London,Data Not Available,Dutch
UBADUTAROM18,Dutch and Romanian,BA,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-romanian-ba,No,No,Yes,25500,28500,35000,University College London,Data Not Available,Dutch
UBADUTARUS18,Dutch and Russian,BA,AAB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects to include a foreign language, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-russian-ba,No,No,Yes,25500,28500,35000,University College London,60,Dutch
UBADUTASRB18,Dutch and Serbian/Croatian,BA,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-serbian-croatian-ba,No,No,Yes,25500,28500,35000,University College London,Data Not Available,Dutch
UBADUTASPA18,Dutch and Spanish,BA,ABB,Spanish required at grade A.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects including Spanish at grade 6, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-spanish-ba,No,No,Yes,25500,28500,35000,University College London,63,Dutch
UBADUTASWE18,Dutch and Swedish,BA,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-swedish-ba,No,No,Yes,25500,28500,35000,University College London,Data Not Available,Dutch
UBADUTAUKR18,Dutch and Ukrainian,BA,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-ukrainian-ba,No,No,Yes,25500,28500,35000,University College London,Data Not Available,Dutch
UBADUTAYID18,Dutch and Yiddish,BA,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5, to include Dutch or Yiddish.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-yiddish-ba,No,No,Yes,25500,28500,35000,University College London,Data Not Available,Dutch
UBADUTSING18,Dutch,BA,ABB,Foreign language preferred.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects preferably including a foreign language, with no score higher level below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-ba,No,No,Yes,25500,28500,35000,University College London,63,Dutch
UBADUTWFLM18,Dutch with Film Studies,BA,ABB,Modern foreign language preferred.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5, Modern Foreign Language preferred.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-film-studies-ba,No,No,Yes,25500,28500,35000,University College London,63,Dutch
UBADUTWMAN18,Dutch with Management Studies,BA,AAB,Modern foreign language preferred.,English Language at grade B or 6 and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects, with no higher level score below 5, Modern Foreign Language preferred.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-management-studies-ba,No,No,Yes,30000,34000,47500,University College London,75,Dutch
UBAECHSEDU18,Early Childhood Education,BA,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/early-childhood-education-ba,No,No,No,30500,38500,53000,University College London,49,Education
UBSEARSING18,Earth Sciences,BSc,AAB,"Biology, Chemistry, Geology/Geography, Mathematics, Further Mathematics or Physics preferred",English Language and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects to preferably include two sciences, with no higher level score below 5. Biology, Chemistry, Geology/Geography, Mathematics, Further Mathematics or Physics preferred",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/earth-sciences-bsc,No,No,No,25000,29000,34000,University College London,51,Geology|Chemistry|Biology|Geography
UMSEARSINT18,Earth Sciences (International Programme),MSCi,AAB,"Biology, Chemistry, Geology/Geography, Mathematics, Further Mathematics or Physics preferred",English Language and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects to preferably include two sciences, with no higher level score below 5. Biology, Chemistry, Geology/Geography, Mathematics, Further Mathematics or Physics preferred",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/earth-sciences-international-programme-msci,No,No,Yes,25000,29000,34000,University College London,91,Geology
UMSEARSING18,Earth Sciences,MSCi,AAB,"Biology, Chemistry, Geology/Geography, Mathematics, Further Mathematics or Physics preferred",English Language and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects to preferably include two sciences, with no higher level score below 5. Biology, Chemistry, Geology/Geography, Mathematics, Further Mathematics or Physics preferred",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/earth-sciences-msci,No,No,No,25000,29000,34000,University College London,91,Geology|Chemistry|Biology|Geography
UBAEBSWEEA18,Economics and Business with East European Studies,BA,AAA,Mathematics required. Economics and Further Mathematics preferred.,English Language at grade B or 6 and Mathematics at grade C or 4.,38,"A total of 18 points in three higher level subjects including grade 6 in Mathematics, with no higher level score below 5. The programme will accept either 'Mathematics: Analysis and Approaches' or 'Mathematics: Applications and Interpretation' at higher level.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/economics-and-business-east-european-studies-ba,No,No,Yes,36000,48000,65000,University College London,37,Economics|Management|Sociology
UBEECOASTA18,Economics and Statistics,BSc (Econ),A*AA,"A* in Mathematics required. Further Mathematics preferred. If you are studying both then the A* can be in either subject. Other preferred subjects include Chemistry, Economics, Physics and Statistics.",English Language and Mathematics at grade C or 4.,39,"A total of 19 points in three higher level subjects including grade 7 in Mathematics, with no higher level score below 5. The programme will accept either 'Mathematics: Analysis and Approaches' or 'Mathematics: Applications and Interpretation' at higher level. Further Mathematics, Chemistry, Economics, Physics and Statistics preferred.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/economics-and-statistics-bsc-econ,No,No,No,30000,35000,46000,University College London,20,Economics|Statistics|Finance
UBEECOSABR18,Economics,BSc (Econ),A*AA,"A* in Mathematics required, plus if Economics is offered it must be grade A.",English Language and Mathematics at grade C or 4.,39,A total of 19 points in three higher level subjects including grade 7 in Mathematics and grade 6 in Economics if offered with no higher level score below 5. The programme will accept either 'Mathematics: Analysis and Approaches' or 'Mathematics: Applications and Interpretation' at higher level.,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/economics-bsc-econ,No,No,Yes,36000,48000,65000,University College London,32,Economics|Finance
UBAEDUACUL18,"Education, Society and Culture",BA,ABB,"A Social Science, Classics, English Literature and/or Language (not English Language acquisition) or Business Studies preferred.",English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/education-society-and-culture-ba,No,No,No,23000,25000,28000,University College London,53,Sociology|Education
UBNEENSEEE22,Electronic and Electrical Engineering,BEng,A*AA,"A* in Mathematics required, plus either Physics or Further Mathematics preferred as the second subject.  Where students have Further Mathematics but not Physics then it is preferable to have Biology, Chemistry, Design and Technology, or Electronics as the third subject.",English Language and Mathematics at grade C or 4.,39,"A total of 19 points in three higher level subjects including grade 7 in Mathematics and preferably Physics, with no higher level score below 5. The programme will accept either 'Mathematics: Analysis and Approaches' or 'Mathematics: Applications and Interpretation' at higher level. 'Mathematics: Analysis and Approaches' is preferred.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/electronic-and-electrical-engineering-beng,Yes,No,No,30000,33000,48000,University College London,19,Engineering|Computing
UMNEENSEEE22,Electronic and Electrical Engineering,MEng,A*AA,"A* in Mathematics required, plus either Physics or Further Mathematics preferred as the second subject.  Where students have Further Mathematics but not Physics then it is preferable to have Biology, Chemistry, Design and Technology, or Electronics as the third subject.",English Language and Mathematics at grade C or 4.,39,"A total of 19 points in three higher level subjects including grade 7 in Mathematics and preferably Physics, with no higher level score below 5. The programme will accept either 'Mathematics: Analysis and Approaches' or 'Mathematics: Applications and Interpretation' at higher level. 'Mathematics: Analysis and Approaches' is preferred.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/electronic-and-electrical-engineering-meng,Yes,No,No,30000,33000,48000,University College London,27,Engineering|Computing
UMNENGAARD18,Engineering and Architectural Design,MEng,AAA,"No specific subjects, please note the GCSE Mathematics and Physics requirements below, if not offered at A level and a Comprehensive Portfolio of Creative Work required upon invitation, at application stage. At least two A level subjects should be taken from UCL's list of preferred A level subjects.",English Language at grade C or 4. Mathematics and Physics (or Double Award) at grade A or 7 if not offered at A level.,38,"A total of 18 points in three higher level subjects, with no higher-level score below 5. Physics and Mathematics (either Mathematics: Analysis and Approaches or Mathematics: Applications and Interpretation) must be offered at either higher or standard level.  A Comprehensive Portfolio of Creative Work required upon invitation, at application stage.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/engineering-and-architectural-design-meng,Yes,No,No,30000,33000,39000,University College London,55,Engineering|Architecture
UBAENGSING05,English,BA,AAA,English Literature (or combined Literature and Language) required.,English Language at grade B or 6 and Mathematics at grade C or 4.,38,"A total of 18 points in three higher level subjects including English A1 Literature/Language and Literature at grade 6, with no higher level score below 5.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/english-ba,No,No,No,23000,25500,28000,University College London,48,English
UBSEARSEGS18,Environmental Geoscience,BSc,AAB,"Biology, Chemistry, Geology/Geography, Mathematics, Further Mathematics or Physics preferred",English Language and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects to preferably include two sciences, with no higher level score below 5. Biology, Chemistry, Geology/Geography, Mathematics, Further Mathematics or Physics preferred",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/environmental-geoscience-bsc,No,No,No,25000,29000,34000,University College London,39,Geology|Geophysics|Geoscience
UMSEARSEGS18,Environmental Geoscience,MSCi,AAB,"Biology, Chemistry, Geology/Geography, Mathematics, Further Mathematics or Physics preferred",English Language and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects to preferably include two sciences, with no higher level score below 5. Biology, Chemistry, Geology/Geography, Mathematics, Further Mathematics or Physics preferred",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/environmental-geoscience-msci,No,No,No,25000,29000,34000,University College London,67,Geology|Geophysics|Geoscience
UBAESPSSTU18,European Social and Political Studies,BA,A*AA,A humanities or social science subject (or Mathematics) preferred. Mathematics at A* required for full Economics specialism if chosen. French or Spanish required at grade A if one of these is to be studied as major language.,English Language at grade B or 6 and Mathematics at grade C or 4.,39,"A total of 19 points in three higher level subjects, with no higher level score below 5. Higher level subjects to include French B, or Spanish B at grade 6 if either of these is to be studied as a major language. A humanities or social science subject (or Mathematics) is preferred. Mathematics at grade 7 at higher level is required for the full Economics specialism, if chosen. The programme will accept either 'Mathematics: Analysis and Approaches' or 'Mathematics: Applications and Interpretation' at higher level.
",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/european-social-and-political-studies-ba,No,No,Yes,29000,32000,45000,University College London,44,Politics|Sociology|Economics
UBAESPSDUA18,European Social and Political Studies: Dual Degree,BA,A*AA,A humanities or social science subject (or Mathematics) preferred. Mathematics at A* required for full Economics specialism if chosen. French or Spanish required at grade A if one of these is to be studied as a major language. Other language requirements may apply depending on the campus chosen - see www.ucl.ac.uk/r992-entry.,English Language at grade B or 6 and Mathematics at grade C or 4.,39,"A total of 19 points in three higher level subjects, with no higher level score below 5. Higher level subjects to include French B or Spanish B at grade 6 if one of these is to be studied as a major language. A humanities or social science subject (or Mathematics) at higher level is normally a requirement. Mathematics at grade 7 at higher level is required for the full Economics specialism, if chosen. The programme will accept either 'Mathematics: Analysis and Approaches' or 'Mathematics: Applications and Interpretation' at higher level. Other language requirements may apply depending on the campus chosen - see www.ucl.ac.uk/r992-entry).",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/european-social-and-political-studies-dual-degree-ba,No,No,Yes,29000,32000,45000,University College London,44,Politics|Sociology|Economics
UBSLINSEXP21,Experimental Linguistics,BSc,AAB,"At least one subject from Biology, Chemistry, Mathematics, Physics and Psychology.",English Language at grade B or 6 and Mathematics at grade C or 4.,36,"A score of 17 points in three higher level subjects including one from Biology, Chemistry, Physics, Mathematics or Psychology with no higher level score below 5. If Mathematics is offered at higher level, the programme will accept either 'Analysis and Approaches' or 'Applications and Interpretation.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/experimental-linguistics-bsc,No,No,No,23000,25500,30000,University College London,80,Linguistics
UBSLINSINT18,Experimental Linguistics (International Programme),BSc,AAB,"At least one subject from Biology, Chemistry, Mathematics, Physics and Psychology.",English Language at grade B or 6 and Mathematics at grade C or 4.,36,"A score of 17 points in three higher level subjects including one from Biology, Chemistry, Physics, Mathematics or Psychology with no higher level score below 5. If Mathematics is offered at higher level, the programme will accept either 'Analysis and Approaches' or 'Applications and Interpretation.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/experimental-linguistics-international-programme-bsc,No,No,Yes,23000,25500,30000,University College London,80,Linguistics
UBAFINSING05,Fine Art,BA,ABB,"No specific subjects, but a portfolio of work is required. At least two A level subjects should be taken from UCL's list of preferred A level subjects.",English Language and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5, plus a portfolio.",https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/fine-art-ba,No,No,No,NA,NA,NA,University College London,3,Art
